Date;Open;High;Low;Close;Average
18-8-2008;11.659.650.391;11.690.429.688;11.290.580.078;11.628.059.570;11.643.854.981
25-8-2008;11.626.190.430;11.715.179.688;11.340.410.156;11.543.959.961;11.585.075.196
1-9-2008;11.545.629.883;11.790.169.922;11.037.849.609;11.220.959.961;11.383.294.922
8-9-2008;11.224.870.117;11.577.500.000;11.098.669.922;11.421.990.234;11.323.430.176
15-9-2008;11.416.370.117;11.483.049.805;10.459.440.430;11.388.440.430;11.402.405.274
22-9-2008;11.394.419.922;11.394.580.078;10.753.570.313;11.143.129.883;11.268.774.903
29-9-2008;11.139.620.117;11.139.940.430;10.310.250.000;10.325.379.883;10.732.500.000
6-10-2008;10.322.519.531;10.322.759.766;7.882.509.766;8.451.190.430;9.386.854.981
13-10-2008;8.462.419.922;9.794.370.117;8.197.669.922;8.852.219.727;8.657.319.825
20-10-2008;8.852.299.805;9.284.549.805;8.187.479.980;8.378.950.195;8.615.625.000
27-10-2008;8.375.919.922;9.454.360.352;8.143.589.844;9.325.009.766;8.850.464.844
3-11-2008;9.326.040.039;9.653.950.195;8.637.169.922;8.943.809.570;9.134.924.805
10-11-2008;8.946.599.609;9.159.580.078;7.965.419.922;8.497.309.570;8.721.954.590
17-11-2008;8.494.839.844;8.571.299.805;7.449.379.883;8.046.419.922;8.270.629.883
24-11-2008;8.048.089.844;8.831.349.609;8.048.089.844;8.829.040.039;8.438.564.942
1-12-2008;8.826.889.648;8.827.049.805;8.118.500.000;8.635.419.922;8.731.154.785
8-12-2008;8.637.650.391;9.026.410.156;8.347.809.570;8.629.679.688;8.633.665.040
15-12-2008;8.628.809.570;8.961.259.766;8.469.030.273;8.579.110.352;8.603.959.961
22-12-2008;8.573.370.117;8.604.120.117;8.372.019.531;8.515.549.805;8.544.459.961
29-12-2008;8.515.870.117;9.065.280.273;8.364.059.570;9.034.690.430;8.775.280.274
5-1-2009;9.027.129.883;9.088.059.570;8.576.959.961;8.599.179.688;8.813.154.786
12-1-2009;8.599.259.766;8.602.599.609;7.995.129.883;8.281.219.727;8.440.239.747
19-1-2009;8.279.629.883;8.291.980.469;7.909.029.785;8.077.560.059;8.178.594.971
26-1-2009;8.078.040.039;8.405.870.117;7.961.919.922;8.000.859.863;8.039.449.951
